Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	SoruCevap_6_Cevap	SoruCevap_6_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Ambar_kodu	Antrepo_kodu	Banka_kodu	Banka_mektubu_tutari	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	Diger_tutar	Dogrulama	Esyanin_bulundugu_yer	GUMRUK	Gidecegi_sevk_ulkesi	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	Kdv_orani	Kimlik_turu	Kod	Konteyner	Kullanici_kodu	Marka	Miktar_birimi	Muafiyetler_1	Musavir_referansi	Musavir_vergi_no	Nakdi_teminat_tutari	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	Referans	Referans_no	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	Telafi_edici_vergi	Teminat_orani	Teminat_sekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
11	392630000000	YAĞMUR SENSÖR BRAKETİ	011	13.77	11.67	300	7100	4	556.02	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	23236.05	40	4652.33	C	20	23261.66						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	641.57	300	0	11	27	11	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	2111.25	TRY	20ES000484403/YFKS	-	PESIN	1	556.02	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	15.56	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	25.61	0	0	0	25.61	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
12	392630000000	YAGMUR SENSÖRÜ BRAKETİ	011	94.34	79.93	2000	7100	4	3806.98	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	159092.08	40	31853.49	C	20	159267.43						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	4392.7	2000	0	11	27	12	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	14453.94	TRY	20ES000484403/YFKS	-	PESIN	1	3806.98	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	106.52	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	175.35	0	0	0	175.35	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
13	392630000000	KAMERA BRAKETİ	011	40.97	34.71	600	7100	4	1653.03	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	69078.9	40	13831.01	C	20	69155.04						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1907.34	600	0	11	27	13	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	6275.53	TRY	20ES000484403/YFKS	-	PESIN	1	1653.03	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	46.25	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	76.14	0	0	0	76.14	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
14	392630000000	KAMERA BRAKETİ	011	12.33	10.45	180	7100	4	497.71	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	20798.53	40	4164.29	C	20	20821.45						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	574.27	180	0	11	27	14	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	1889.09	TRY	20ES000484403/YFKS	-	PESIN	1	497.71	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	13.93	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	22.92	0	0	0	22.92	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
15	392690979018	PLASTİK BRAKET	011	106.13	89.92	1500	7100	4	4282.85	EUR	18/02/2025	V	1102	18170099282013015773484/1	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177	18/02/2025	V	0873	18110099232013015773484/1	HAYIR	7780	EVET	4378	HAYIR	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	178978.1	40	35835.07	C	20	179175.37						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	4941.77	1500	0	11	27	15	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	16260.3	TRY	20ES000484403/YFKS	-	PESIN	1	4282.85	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	119.83	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	197.27	0	0	0	197.27	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
16	851290900013	YAĞMUR SENSÖR BRAKETİ	011	41.36	35.04	1400	7100	4	1669.06	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	69749.21	40	13965.22	C	20	69826.09						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1925.85	1400	0	11	27	16	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	6336.81	TRY	20ES000484403/YFKS	-	PESIN	1	1669.06	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	46.7	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	76.88	0	0	0	76.88	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
17	392630000000	KAMERA BRAKETİ	011	24.53	20.78	400	7100	4	989.82	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	41364.38	40	8281.99	C	20	41409.97						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1142.11	400	0	11	27	17	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	3758.27	TRY	20ES000484403/YFKS	-	PESIN	1	989.82	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	27.69	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	45.59	0	0	0	45.59	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
18	392630000000	KAMERA BRAKETİ	011	31.03	26.29	500	7100	4	1252.3	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	52332.62	40	10478.06	C	20	52390.3						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1444.96	500	0	11	27	18	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	4754.14	TRY	20ES000484403/YFKS	-	PESIN	1	1252.3	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	35.04	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	57.68	0	0	0	57.68	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
19	392630000000	KAMERA BRAKETİ	011	37.75	31.98	432	7100	4	1523.43	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	63663.21	40	12746.68	C	20	63733.38						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1757.81	432	0	11	27	19	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	5783.72	TRY	20ES000484403/YFKS	-	PESIN	1	1523.43	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	42.62	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	70.17	0	0	0	70.17	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
20	870899979929	AYNA PLAKETİ	011	28.6	24.23	480	7100	4	1154.12	EUR	05/02/2025	V	0301	GA 0544091 T	04/02/2025	V	0100	32792	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	48230.18	40	9656.67	C	20	48283.34						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1331.69	480	0	11	27	20	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	4381.84	TRY	20ES000484403/YFKS	-	PESIN	1	1154.12	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	32.29	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	53.16	0	0	0	53.16	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
21	870899979929	AYNA PLAKETİ	011	22.66	19.2	1404	7100	4	914.28	EUR	05/02/2025	V	0301	GA 0544091 T	04/02/2025	V	0100	32792	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	38207.89	40	7650	C	20	38250						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1054.96	1404	0	11	27	21	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	3471.76	TRY	20ES000484403/YFKS	-	PESIN	1	914.28	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	25.58	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	42.11	0	0	0	42.11	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
22	392630000000	YAĞMUR SENSÖR BRAKETİ	011	93.85	79.51	1890	7100	4	3786.94	EUR	05/02/2025	V	0301	GA 0544091 T	04/02/2025	V	0100	32792	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	158254.09	40	31685.7	C	20	158428.52						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	4369.56	1890	0	11	27	22	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	14377.33	TRY	20ES000484403/YFKS	-	PESIN	1	3786.94	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	105.96	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	174.43	0	0	0	174.43	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
23	870899979929	AYNA PLAKETİ	011	14.31	12.12	600	7100	4	577.06	EUR	05/02/2025	V	0301	GA 0544091 T	04/02/2025	V	0100	32792	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	24115.1	40	4828.34	C	20	24141.68						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	665.84	600	0	11	27	23	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	2190.92	TRY	20ES000484403/YFKS	-	PESIN	1	577.06	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	16.15	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	26.58	0	0	0	26.58	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
